"id","internal_status","code","is_mod_status","external_status","extra_info","okra_code","external_status_api"
1,"Partial captured","0",False,"NOT AVAILABLE",,"05","Not Available"
2,"Captured","1",False,"NOT AVAILABLE",,"05","Not Available"
3,"Cancelled","2",False,"NOT AVAILABLE",,"05","Not Available"
4,"Pending with KRA","3",False,"UNDER PROCESS",,"01","Underprocess"
5,"Sent To other KRA","7",False,"UNDER PROCESS",,"01","Underprocess"
6,"KYC Registered","4",False,"KYC REGISTERED",,"02","KYC Registd"
7,"Rejected by KRA","5",False,"NOT AVAILABLE",,"04","Not Available"
8,"On Hold","6",False,"ON HOLD",,"03","KYC Onhold"
9,"With Other KRA","8",False,"UNDER PROCESS",,"01","Underprocess"
10,"KRA Maker Verified","9",False,"UNDER PROCESS",,"01","Underprocess"
11,"KYC Deactivated","10",False,"NOT AVAILABLE",,"06","Not Available"
12,"KYC Validated","11",False,"KYC VALIDATED",,"07","KYC Validated"
13,"Partial captured","0",True,"NOT AVAILABLE",,"05","Not Available"
14,"Captured","1",True,"NOT AVAILABLE",,"05","Not Available"
15,"Cancelled","2",True,"NOT AVAILABLE",,"05","Not Available"
16,"Pending with KRA","3",True,"UNDER PROCESS",,"01","Underprocess"
17,"Sent To other KRA","7",True,"UNDER PROCESS",,"01","Underprocess"
18,"KYC Registered","4",True,"KYC REGISTERED",,"02","KYC Registd"
19,"Rejected by KRA","5",True,"KYC REJECTED",,"04","KYC Rejted"
20,"On Hold","6",True,"ON HOLD",,"03","KYC Onhold"
21,"With Other KRA","8",True,"UNDER PROCESS",,"01","Underprocess"
22,"KRA Maker Verified","9",True,"UNDER PROCESS",,"01","Underprocess"
23,"KYC Deactivated","10",True,"DEACTIVATED",,"06","KYC Deactivated"
24,"KYC Validated","11",True,"KYC VALIDATED",,"07","KYC Validated"
